asset_id,card_name,alt_url,year,set,card_number,subject,variety,grading_company,grade,first_seen,last_seen
0000df84-a88f-4eea-86ef-b0c30694019e,2013 Legendary Treasures English Emolga #RC23,https://alt.xyz/research/0000df84-a88f-4eea-86ef-b0c30694019e,2013,Legendary Treasures,RC23,Emolga,English,PSA,10.0,2026-09-11,2026-09-11
00034e74-d4ba-469d-b5df-916a93a758a5,2000 Pokemon Action Flipz Premier Charmander/Charmeleon #7,https://alt.xyz/research/00034e74-d4ba-469d-b5df-916a93a758a5,2000,Pokemon Action Flipz Premier,7,Charmander/Charmeleon,,PSA,10.0,2026-09-12,2026-09-17
00046c1b-8e1e-44e9-808b-a0553d28b3cd,2024 Paldean Fates - Paf En English Rabsca #163,https://alt.xyz/research/00046c1b-8e1e-44e9-808b-a0553d28b3cd,2024,Paldean Fates - Paf En,163,Rabsca,English,PSA,10.0,2026-09-11,2026-09-11
00066844-3370-440b-bb05-59e9b25e5a5e,2017 Pokemon Sun and Moon Shining Legends '19 Yellow A Alternate Art Hidden Fates Great Ball Collection Zoroark Gx #77A,https://alt.xyz/research/00066844-3370-440b-bb05-59e9b25e5a5e,2017,Pokemon Sun and Moon Shining Legends,77A,Zoroark Gx,'19 Yellow A Alternate Art Hidden Fates Great Ball Collection,PSA,10.0,2026-09-11,2026-09-11
0009e3b1-8a43-45ca-8fd4-1b06497f9404,2023 Pokemon Scarlet and Violet Scarlet Ex Indonesian Penny Sr #100,https://alt.xyz/research/0009e3b1-8a43-45ca-8fd4-1b06497f9404,2023,Pokemon Scarlet and Violet Scarlet Ex Indonesian,100,Penny Sr,,PSA,10.0,2026-09-11,2026-09-11
000c10a0-8949-4c5d-9c27-a974b91862c3,2019 Team Up English Evelyn #175,https://alt.xyz/research/000c10a0-8949-4c5d-9c27-a974b91862c3,2019,Team Up,175,Evelyn,English,PSA,10.0,2026-09-11,2026-09-11
000f3a3c-6480-41f5-bb7d-67acf9bedd3c,2020 Pokemon Sword and Shield Vivid Voltage Reverse Holo Dedenne #77,https://alt.xyz/research/000f3a3c-6480-41f5-bb7d-67acf9bedd3c,2020,Pokemon Sword and Shield Vivid Voltage,77,Dedenne,Reverse Holo,PSA,10.0,2026-09-11,2026-09-11
000fbe97-a73f-497e-859f-dd2559639759,2020 Pokemon Sword and Shield Champion's Path Holo Centiskorch #10,https://alt.xyz/research/000fbe97-a73f-497e-859f-dd2559639759,2020,Pokemon Sword and Shield Champion's Path,10,Centiskorch,Holo,PSA,10.0,2026-09-11,2026-09-11
001391a7-5a28-407a-8d3e-b3c997e69ee0,2019 Pokemon Swsh Bsp Holo Brilliant Stars Single Pack Blisters Eevee #SWSH190,https://alt.xyz/research/001391a7-5a28-407a-8d3e-b3c997e69ee0,2019,Pokemon Swsh Bsp,SWSH190,Eevee,Holo Brilliant Stars Single Pack Blisters,PSA,10.0,2026-09-11,2026-09-17
00139467-16ef-419c-a0f9-c9b86ee835d0,2002 Expedition English Dugtrio #44,https://alt.xyz/research/00139467-16ef-419c-a0f9-c9b86ee835d0,2002,Expedition,44,Dugtrio,English,PSA,10.0,2026-09-11,2026-09-11
00140183-3030-455e-8449-67a1aec016bf,2004 Pokemon Pcg Era Japanese Promos Deoxys?Speed Forme/(Mcdonald's Promotion January 2005) #032PCGP,https://alt.xyz/research/00140183-3030-455e-8449-67a1aec016bf,2004,Pokemon Pcg Era Japanese Promos,032PCGP,Deoxys?Speed Forme/(Mcdonald's Promotion January 2005),,PSA,10.0,2026-09-12,2026-09-17
00147e68-0b7e-48a4-9206-25c56a3910ff,2019 Pokemon Sun and Moon Promo Japanese Pokemon Center Gardevoir #408SMP,https://alt.xyz/research/00147e68-0b7e-48a4-9206-25c56a3910ff,2019,Pokemon Sun and Moon Promo Japanese,408SMP,Gardevoir,Pokemon Center,PSA,10.0,2026-09-11,2026-09-17
00157b94-60a0-4be8-957a-ea85bf72c155,1999 Pokemon Base Set Shadowless Dragonair #18,https://alt.xyz/research/00157b94-60a0-4be8-957a-ea85bf72c155,1999,Pokemon Base Set,18,Dragonair,Shadowless,PSA,10.0,2026-09-11,2026-09-11
0018e274-a179-46b7-9d77-4570f8419273,2006 Pokemon Ex Crystal Guardians Reverse Holo Gulpin #33,https://alt.xyz/research/0018e274-a179-46b7-9d77-4570f8419273,2006,Pokemon Ex Crystal Guardians,33,Gulpin,Reverse Holo,PSA,10.0,2026-09-11,2026-09-11
001c515f-0c11-4144-8be0-a5994d86175c,2016 Pokemon Awakening Psychic King Japanese 1st Edition Umbreon Ex #82,https://alt.xyz/research/001c515f-0c11-4144-8be0-a5994d86175c,2016,Pokemon Awakening Psychic King Japanese,82,Umbreon Ex,1st Edition,PSA,10.0,2026-09-11,2026-09-17
001ddc21-bbf9-4a1e-acff-fc5e46daf92a,2016 Pokemon XY Steam Siege Marill #76,https://alt.xyz/research/001ddc21-bbf9-4a1e-acff-fc5e46daf92a,2016,Pokemon XY Steam Siege,76,Marill,,PSA,10.0,2026-09-11,2026-09-11
0020178f-e690-4d62-94f7-7a05501fa3d0,2004 Pokemon Ex Fire Red Leaf Green Reverse Holo Tauros #16,https://alt.xyz/research/0020178f-e690-4d62-94f7-7a05501fa3d0,2004,Pokemon Ex Fire Red Leaf Green,16,Tauros,Reverse Holo,PSA,10.0,2026-09-11,2026-09-11
00206665-b048-4b65-86c9-0c518959a345,2021 Pokemon Japanese Reverse Holo 25th Anniversary Groudon #6,https://alt.xyz/research/00206665-b048-4b65-86c9-0c518959a345,2021,Pokemon Japanese,6,Groudon,Reverse Holo 25th Anniversary,PSA,10.0,2026-09-11,2026-09-17
0020e529-6ed1-4123-a834-29d161bcde90,2007 Pokemon Diamond and Pearl Secret of the Lakes Japanese Barboach #392,https://alt.xyz/research/0020e529-6ed1-4123-a834-29d161bcde90,2007,Pokemon Diamond and Pearl Secret of the Lakes Japanese,392,Barboach,,PSA,10.0,2026-09-11,2026-09-11
002179dc-75b8-4d3e-ace1-150980913864,2019 Star Pokemon Sword and Shield Black Promos Italian Charizard Vstar #SWSH262,https://alt.xyz/research/002179dc-75b8-4d3e-ace1-150980913864,2019,Star,SWSH262,Charizard Vstar,Pokemon Sword and Shield Black  Promos Italian,PSA,10.0,2026-09-11,2026-09-17
0022036a-1516-4665-82de-5b50889ce1ac,2016 Pokemon Awakening Psychic King Japanese 1st Edition Lugia #58,https://alt.xyz/research/0022036a-1516-4665-82de-5b50889ce1ac,2016,Pokemon Awakening Psychic King Japanese,58,Lugia,1st Edition,PSA,10.0,2026-09-11,2026-09-17
002244ea-4d30-47c5-8d13-3cad68c34bc6,2003 Pokemon Skyridge Italian Holo Machamp #H15,https://alt.xyz/research/002244ea-4d30-47c5-8d13-3cad68c34bc6,2003,Pokemon Skyridge,H15,Machamp,Italian Holo,PSA,10.0,2026-09-12,2026-09-17
002249df-6aa9-44c2-a174-0f36762ad041,2024 Paldean Fates English Pineco #99,https://alt.xyz/research/002249df-6aa9-44c2-a174-0f36762ad041,2024,Paldean Fates,99,Pineco,English,PSA,10.0,2026-09-11,2026-09-11
